"","PRECINCT_NUMBER","ELECTION_DATE","ELECTION_NAME","WARD","PARTY","BALLOTS CAST - DEMOCRATIC","REGISTERED VOTERS - DEMOCRATIC","TURNOUT","UNDERVOTE","NORTON_VOTE","OTHERVOTE","VOTES","TOTALSHARE"
"235","92","2014","D.C. Primary Election","7","DEM","338","1587",0.21,"22","309","7",338,0.1
"236","93","2014","D.C. Primary Election","7","DEM","301","1523",0.2,"23","278","0",301,0.09
"237","94","2014","D.C. Primary Election","7","DEM","344","1980",0.17,"29","313","2",344,0.1
"238","95","2014","D.C. Primary Election","7","DEM","292","1644",0.18,"20","270","2",292,0.09
"239","96","2014","D.C. Primary Election","7","DEM","405","2330",0.17,"19","385","1",405,0.12
"240","97","2014","D.C. Primary Election","7","DEM","244","1509",0.16,"15","225","4",244,0.07
"241","98","2014","D.C. Primary Election","7","DEM","391","1782",0.22,"18","369","4",391,0.12
"242","99","2014","D.C. Primary Election","7","DEM","279","1460",0.19,"24","254","1",279,0.08
"243","100","2014","D.C. Primary Election","7","DEM","298","2135",0.14,"15","281","2",298,0.09
"244","101","2014","D.C. Primary Election","7","DEM","503","1658",0.3,"34","465","4",503,0.15
"245","102","2014","D.C. Primary Election","7","DEM","506","2457",0.21,"29","465","12",506,0.15
"246","103","2014","D.C. Primary Election","7","DEM","678","3583",0.19,"51","619","8",678,0.2
"247","104","2014","D.C. Primary Election","7","DEM","465","2933",0.16,"41","420","4",465,0.14
"248","105","2014","D.C. Primary Election","7","DEM","429","2384",0.18,"28","398","3",429,0.13
"249","106","2014","D.C. Primary Election","7","DEM","650","2936",0.22,"44","594","12",650,0.19
"250","107","2014","D.C. Primary Election","7","DEM","264","1892",0.14,"21","242","1",264,0.08
"251","108","2014","D.C. Primary Election","7","DEM","451","1113",0.41,"31","413","7",451,0.13
"252","109","2014","D.C. Primary Election","7","DEM","413","931",0.44,"19","386","8",413,0.12
"253","110","2014","D.C. Primary Election","7","DEM","1162","3656",0.32,"66","1081","15",1162,0.35
"254","111","2014","D.C. Primary Election","7","DEM","503","2443",0.21,"38","459","6",503,0.15
"255","112","2014","D.C. Primary Election","8","DEM","464","2052",0.23,"22","439","3",464,0.14
"256","113","2014","D.C. Primary Election","7","DEM","758","2198",0.34,"45","695","18",758,0.23
"257","114","2014","D.C. Primary Election","8","DEM","465","3129",0.15,"29","429","7",465,0.14
"258","115","2014","D.C. Primary Election","8","DEM","431","2872",0.15,"53","372","6",431,0.13
"259","116","2014","D.C. Primary Election","8","DEM","461","3803",0.12,"42","415","4",461,0.14
"260","117","2014","D.C. Primary Election","8","DEM","260","1864",0.14,"19","241","0",260,0.08
"261","118","2014","D.C. Primary Election","8","DEM","395","2662",0.15,"27","363","5",395,0.12
"262","119","2014","D.C. Primary Election","8","DEM","356","2857",0.12,"22","331","3",356,0.11
"263","120","2014","D.C. Primary Election","8","DEM","300","1932",0.16,"25","265","10",300,0.09
"264","121","2014","D.C. Primary Election","8","DEM","560","3267",0.17,"46","507","7",560,0.17
"265","122","2014","D.C. Primary Election","8","DEM","320","1776",0.18,"19","300","1",320,0.1
"266","123","2014","D.C. Primary Election","8","DEM","393","2235",0.18,"29","359","5",393,0.12
"267","124","2014","D.C. Primary Election","8","DEM","501","2571",0.19,"37","457","7",501,0.15
"268","125","2014","D.C. Primary Election","8","DEM","645","4715",0.14,"55","586","4",645,0.19
"269","126","2014","D.C. Primary Election","8","DEM","485","3840",0.13,"31","449","5",485,0.14
"270","127","2014","D.C. Primary Election","6","DEM","1343","3660",0.37,"106","1191","46",1343,0.4
"271","128","2014","D.C. Primary Election","6","DEM","537","2094",0.26,"40","487","10",537,0.16
"272","129","2014","D.C. Primary Election","2","DEM","482","1819",0.26,"73","395","14",482,0.14
"273","130","2014","D.C. Primary Election","6","DEM","307","778",0.39,"22","270","15",307,0.09
"274","131","2014","D.C. Primary Election","6","DEM","576","1649",0.35,"47","507","22",576,0.17
"275","132","2014","D.C. Primary Election","7","DEM","392","2172",0.18,"15","373","4",392,0.12
"276","133","2014","D.C. Primary Election","8","DEM","357","1387",0.26,"25","320","12",357,0.11
"277","134","2014","D.C. Primary Election","8","DEM","395","2153",0.18,"42","349","4",395,0.12
"278","135","2014","D.C. Primary Election","5","DEM","865","2839",0.3,"58","783","24",865,0.26
"279","136","2014","D.C. Primary Election","3","DEM","237","831",0.29,"24","207","6",237,0.07
"280","137","2014","D.C. Primary Election","1","DEM","304","879",0.35,"17","271","16",304,0.09
"281","138","2014","D.C. Primary Election","3","DEM","766","2014",0.38,"78","659","29",766,0.23
"282","139","2014","D.C. Primary Election","5","DEM","703","2010",0.35,"51","640","12",703,0.21
"283","140","2014","D.C. Primary Election","8","DEM","376","1927",0.2,"23","351","2",376,0.11
"284","141","2014","D.C. Primary Election","2","DEM","619","2138",0.29,"45","552","22",619,0.18
"285","142","2014","D.C. Primary Election","6","DEM","507","1285",0.39,"40","453","14",507,0.15
"286","143","2014","D.C. Primary Election","2","DEM","329","1518",0.22,"52","269","8",329,0.1
"287","1","2016","D.C. Primary Election","6","DEM","838","5324",0.16,"48","771","19",838,0.25
"288","2","2016","D.C. Primary Election","2","DEM","117","877",0.13,"8","104","5",117,0.03
"289","3","2016","D.C. Primary Election","2","DEM","475","1817",0.26,"24","433","18",475,0.14
"290","4","2016","D.C. Primary Election","2","DEM","501","2070",0.24,"37","450","14",501,0.15
"291","5","2016","D.C. Primary Election","2","DEM","659","2575",0.26,"44","592","23",659,0.2
"292","6","2016","D.C. Primary Election","2","DEM","505","2866",0.18,"50","440","15",505,0.15
"293","7","2016","D.C. Primary Election","3","DEM","418","1451",0.29,"29","377","12",418,0.12
"294","8","2016","D.C. Primary Election","3","DEM","821","2661",0.31,"51","736","34",821,0.24
"295","9","2016","D.C. Primary Election","3","DEM","357","1344",0.27,"31","308","18",357,0.11
"296","10","2016","D.C. Primary Election","3","DEM","626","1987",0.32,"28","574","24",626,0.19
"297","11","2016","D.C. Primary Election","3","DEM","987","4078",0.24,"80","876","31",987,0.29
"298","12","2016","D.C. Primary Election","3","DEM","166","551",0.3,"20","142","4",166,0.05
"299","13","2016","D.C. Primary Election","2","DEM","510","1534",0.33,"42","455","13",510,0.15
"300","14","2016","D.C. Primary Election","2","DEM","908","3485",0.26,"66","814","28",908,0.27
"301","15","2016","D.C. Primary Election","2","DEM","1058","3615",0.29,"68","955","35",1058,0.31
"302","16","2016","D.C. Primary Election","2","DEM","1187","4278",0.28,"61","1084","42",1187,0.35
"303","17","2016","D.C. Primary Election","2","DEM","1405","5717",0.25,"92","1274","39",1405,0.42
"304","18","2016","D.C. Primary Election","6","DEM","1208","5092",0.24,"47","1123","38",1208,0.36
"305","19","2016","D.C. Primary Election","5","DEM","982","4840",0.2,"37","920","25",982,0.29
"306","20","2016","D.C. Primary Election","1","DEM","213","1736",0.12,"9","199","5",213,0.06
"307","21","2016","D.C. Primary Election","6","DEM","250","1297",0.19,"10","230","10",250,0.07
"308","22","2016","D.C. Primary Election","1","DEM","1041","4203",0.25,"42","957","42",1041,0.31
"309","23","2016","D.C. Primary Election","1","DEM","796","3310",0.24,"50","732","14",796,0.24
"310","24","2016","D.C. Primary Election","1","DEM","800","2968",0.27,"34","747","19",800,0.24
"311","25","2016","D.C. Primary Election","1","DEM","1447","4669",0.31,"102","1302","43",1447,0.43
"312","26","2016","D.C. Primary Election","3","DEM","1082","3478",0.31,"63","990","29",1082,0.32
"313","27","2016","D.C. Primary Election","3","DEM","947","2870",0.33,"58","855","34",947,0.28
"314","28","2016","D.C. Primary Election","3","DEM","920","2798",0.33,"66","830","24",920,0.27
"315","29","2016","D.C. Primary Election","3","DEM","500","1561",0.32,"36","449","15",500,0.15
"316","30","2016","D.C. Primary Election","3","DEM","605","1429",0.42,"39","546","20",605,0.18
"317","31","2016","D.C. Primary Election","3","DEM","970","2627",0.37,"57","870","43",970,0.29
"318","32","2016","D.C. Primary Election","3","DEM","1104","3108",0.36,"65","997","42",1104,0.33
"319","33","2016","D.C. Primary Election","3","DEM","1194","3411",0.35,"75","1085","34",1194,0.36
"320","34","2016","D.C. Primary Election","3","DEM","1385","4574",0.3,"81","1272","32",1385,0.41
"321","35","2016","D.C. Primary Election","1","DEM","1190","4137",0.29,"65","1094","31",1190,0.35
"322","36","2016","D.C. Primary Election","1","DEM","1054","5141",0.21,"42","991","21",1054,0.31
"323","37","2016","D.C. Primary Election","1","DEM","679","3863",0.18,"33","629","17",679,0.2
"324","38","2016","D.C. Primary Election","1","DEM","654","3240",0.2,"24","617","13",654,0.19
"325","39","2016","D.C. Primary Election","1","DEM","1171","4703",0.25,"65","1077","29",1171,0.35
"326","40","2016","D.C. Primary Election","1","DEM","1311","4497",0.29,"62","1219","30",1311,0.39
"327","41","2016","D.C. Primary Election","1","DEM","859","3925",0.22,"33","809","17",859,0.26
"328","42","2016","D.C. Primary Election","1","DEM","556","2100",0.26,"24","514","18",556,0.17
"329","43","2016","D.C. Primary Election","1","DEM","474","1977",0.24,"17","452","5",474,0.14
"330","44","2016","D.C. Primary Election","5","DEM","602","3244",0.19,"31","558","13",602,0.18
"331","45","2016","D.C. Primary Election","4","DEM","744","2622",0.28,"30","698","16",744,0.22
"332","46","2016","D.C. Primary Election","4","DEM","896","3406",0.26,"41","831","24",896,0.27
"333","47","2016","D.C. Primary Election","4","DEM","1003","3705",0.27,"56","923","24",1003,0.3
"334","48","2016","D.C. Primary Election","4","DEM","980","3228",0.3,"65","890","25",980,0.29
"335","49","2016","D.C. Primary Election","4","DEM","283","1045",0.27,"13","267","3",283,0.08
"336","50","2016","D.C. Primary Election","3","DEM","895","2505",0.36,"60","791","44",895,0.27
"337","51","2016","D.C. Primary Election","4","DEM","1637","3670",0.45,"125","1442","70",1637,0.49
"338","52","2016","D.C. Primary Election","4","DEM","637","1407",0.45,"44","564","29",637,0.19
"339","53","2016","D.C. Primary Election","4","DEM","426","1384",0.31,"19","395","12",426,0.13
"340","54","2016","D.C. Primary Election","4","DEM","753","2707",0.28,"39","702","12",753,0.22
"341","55","2016","D.C. Primary Election","4","DEM","639","2923",0.22,"21","598","20",639,0.19
"342","56","2016","D.C. Primary Election","4","DEM","832","3661",0.23,"26","792","14",832,0.25
"343","57","2016","D.C. Primary Election","4","DEM","674","3000",0.22,"23","638","13",674,0.2
"344","58","2016","D.C. Primary Election","4","DEM","648","2630",0.25,"18","619","11",648,0.19
"345","59","2016","D.C. Primary Election","4","DEM","853","2975",0.29,"31","805","17",853,0.25
"346","60","2016","D.C. Primary Election","4","DEM","524","2593",0.2,"31","490","3",524,0.16
"347","61","2016","D.C. Primary Election","4","DEM","543","1877",0.29,"25","507","11",543,0.16
"348","62","2016","D.C. Primary Election","4","DEM","1563","3561",0.44,"67","1450","46",1563,0.47
"349","63","2016","D.C. Primary Election","4","DEM","1241","4061",0.31,"43","1163","35",1241,0.37
"350","64","2016","D.C. Primary Election","4","DEM","818","2640",0.31,"26","773","19",818,0.24
