"","PRECINCT_NUMBER","ELECTION_DATE","ELECTION_NAME","WARD","PARTY","BALLOTS CAST - DEMOCRATIC","REGISTERED VOTERS - DEMOCRATIC","TURNOUT","UNDERVOTE","NORTON_VOTE","OTHERVOTE","VOTES","TOTALSHARE"
"411","125","2016","D.C. Primary Election","8","DEM","729","5573",0.13,"47","669","13",729,0.22
"412","126","2016","D.C. Primary Election","8","DEM","643","4842",0.13,"39","592","12",643,0.19
"413","127","2016","D.C. Primary Election","6","DEM","1153","4673",0.25,"53","1063","37",1153,0.34
"414","128","2016","D.C. Primary Election","6","DEM","635","2806",0.23,"35","586","14",635,0.19
"415","129","2016","D.C. Primary Election","2","DEM","647","2589",0.25,"49","582","16",647,0.19
"416","130","2016","D.C. Primary Election","6","DEM","311","954",0.33,"20","277","14",311,0.09
"417","131","2016","D.C. Primary Election","6","DEM","686","2356",0.29,"39","621","26",686,0.2
"418","132","2016","D.C. Primary Election","7","DEM","361","2504",0.14,"15","345","1",361,0.11
"419","133","2016","D.C. Primary Election","8","DEM","350","1613",0.22,"16","324","10",350,0.1
"420","134","2016","D.C. Primary Election","8","DEM","452","2663",0.17,"27","419","6",452,0.13
"421","135","2016","D.C. Primary Election","5","DEM","777","3480",0.22,"24","740","13",777,0.23
"422","136","2016","D.C. Primary Election","3","DEM","304","1066",0.29,"17","276","11",304,0.09
"423","137","2016","D.C. Primary Election","1","DEM","318","1145",0.28,"11","295","12",318,0.09
"424","138","2016","D.C. Primary Election","3","DEM","854","2670",0.32,"44","768","42",854,0.25
"425","139","2016","D.C. Primary Election","5","DEM","653","2601",0.25,"13","627","13",653,0.19
"426","140","2016","D.C. Primary Election","8","DEM","373","2217",0.17,"17","347","9",373,0.11
"427","141","2016","D.C. Primary Election","2","DEM","766","2880",0.27,"40","706","20",766,0.23
"428","142","2016","D.C. Primary Election","6","DEM","488","1645",0.3,"19","453","16",488,0.15
"429","143","2016","D.C. Primary Election","2","DEM","426","1937",0.22,"28","384","14",426,0.13
"430","1","2018","Primary Election","6","DEM","690","4387",0.16,"16","528","146",690,0.21
"431","2","2018","Primary Election","2","DEM","64","899",0.07,"2","35","27",64,0.02
"432","3","2018","Primary Election","2","DEM","345","1638",0.21,"8","269","68",345,0.1
"433","4","2018","Primary Election","2","DEM","366","1946",0.19,"14","250","102",366,0.11
"434","5","2018","Primary Election","2","DEM","479","2094",0.23,"27","355","97",479,0.14
"435","6","2018","Primary Election","2","DEM","380","2322",0.16,"16","268","96",380,0.11
"436","7","2018","Primary Election","3","DEM","283","1269",0.22,"9","211","63",283,0.08
"437","8","2018","Primary Election","3","DEM","647","2411",0.27,"19","478","150",647,0.19
"438","9","2018","Primary Election","3","DEM","254","1185",0.21,"4","188","62",254,0.08
"439","10","2018","Primary Election","3","DEM","471","1870",0.25,"13","347","111",471,0.14
"440","11","2018","Primary Election","3","DEM","807","3352",0.24,"28","596","183",807,0.24
"441","12","2018","Primary Election","3","DEM","146","493",0.3,"7","99","40",146,0.04
"442","13","2018","Primary Election","2","DEM","382","1295",0.29,"11","278","93",382,0.11
"443","14","2018","Primary Election","2","DEM","700","2784",0.25,"32","507","161",700,0.21
"444","15","2018","Primary Election","2","DEM","861","2977",0.29,"31","640","190",861,0.26
"445","16","2018","Primary Election","2","DEM","994","3383",0.29,"35","748","211",994,0.3
"446","17","2018","Primary Election","2","DEM","1056","4770",0.22,"31","796","229",1056,0.31
"447","18","2018","Primary Election","6","DEM","1056","4788",0.22,"33","804","219",1056,0.31
"448","19","2018","Primary Election","5","DEM","963","4408",0.22,"22","712","229",963,0.29
"449","20","2018","Primary Election","1","DEM","174","1588",0.11,"4","133","37",174,0.05
"450","21","2018","Primary Election","6","DEM","265","1189",0.22,"6","189","70",265,0.08
"451","22","2018","Primary Election","1","DEM","970","3777",0.26,"32","679","259",970,0.29
"452","23","2018","Primary Election","1","DEM","708","2889",0.25,"14","549","145",708,0.21
"453","24","2018","Primary Election","1","DEM","824","2632",0.31,"28","601","195",824,0.25
"454","25","2018","Primary Election","1","DEM","1311","3809",0.34,"47","933","331",1311,0.39
"455","26","2018","Primary Election","3","DEM","879","2881",0.31,"23","636","220",879,0.26
"456","27","2018","Primary Election","3","DEM","822","2453",0.34,"21","612","189",822,0.24
"457","28","2018","Primary Election","3","DEM","718","2498",0.29,"19","527","172",718,0.21
"458","29","2018","Primary Election","3","DEM","366","1302",0.28,"15","253","98",366,0.11
"459","30","2018","Primary Election","3","DEM","466","1276",0.37,"9","342","115",466,0.14
"460","31","2018","Primary Election","3","DEM","841","2446",0.34,"25","631","185",841,0.25
"461","32","2018","Primary Election","3","DEM","961","2752",0.35,"20","709","232",961,0.29
"462","33","2018","Primary Election","3","DEM","973","2906",0.33,"26","703","244",973,0.29
"463","34","2018","Primary Election","3","DEM","1283","3813",0.34,"24","919","340",1283,0.38
"464","35","2018","Primary Election","1","DEM","1145","3589",0.32,"44","846","255",1145,0.34
"465","36","2018","Primary Election","1","DEM","977","4202",0.23,"43","710","224",977,0.29
"466","37","2018","Primary Election","1","DEM","673","3526",0.19,"24","511","138",673,0.2
"467","38","2018","Primary Election","1","DEM","753","2910",0.26,"21","566","166",753,0.22
"468","39","2018","Primary Election","1","DEM","1129","4129",0.27,"37","812","280",1129,0.34
"469","40","2018","Primary Election","1","DEM","1224","3823",0.32,"33","918","273",1224,0.36
"470","41","2018","Primary Election","1","DEM","822","3599",0.23,"29","581","212",822,0.24
"471","42","2018","Primary Election","1","DEM","497","1810",0.27,"22","360","115",497,0.15
"472","43","2018","Primary Election","1","DEM","520","1814",0.29,"14","411","95",520,0.15
"473","44","2018","Primary Election","5","DEM","502","2844",0.18,"9","413","80",502,0.15
"474","45","2018","Primary Election","4","DEM","620","2305",0.27,"12","480","128",620,0.18
"475","46","2018","Primary Election","4","DEM","694","2803",0.25,"13","505","176",694,0.21
"476","47","2018","Primary Election","4","DEM","901","3426",0.26,"31","636","234",901,0.27
"477","48","2018","Primary Election","4","DEM","795","2780",0.29,"19","518","258",795,0.24
"478","49","2018","Primary Election","4","DEM","250","911",0.27,"8","186","56",250,0.07
"479","50","2018","Primary Election","3","DEM","747","2155",0.35,"13","530","204",747,0.22
"480","51","2018","Primary Election","4","DEM","1205","3348",0.36,"18","839","348",1205,0.36
"481","52","2018","Primary Election","4","DEM","491","1248",0.39,"4","361","126",491,0.15
"482","53","2018","Primary Election","4","DEM","309","1241",0.25,"7","221","81",309,0.09
"483","54","2018","Primary Election","4","DEM","614","2343",0.26,"9","460","145",614,0.18
"484","55","2018","Primary Election","4","DEM","503","2445",0.21,"7","394","102",503,0.15
"485","56","2018","Primary Election","4","DEM","660","3114",0.21,"14","505","141",660,0.2
"486","57","2018","Primary Election","4","DEM","517","2451",0.21,"6","405","106",517,0.15
"487","58","2018","Primary Election","4","DEM","469","2272",0.21,"5","362","102",469,0.14
"488","59","2018","Primary Election","4","DEM","652","2585",0.25,"11","507","134",652,0.19
"489","60","2018","Primary Election","4","DEM","348","2157",0.16,"10","272","66",348,0.1
"490","61","2018","Primary Election","4","DEM","437","1581",0.28,"5","324","108",437,0.13
"491","62","2018","Primary Election","4","DEM","1219","3137",0.39,"13","736","470",1219,0.36
"492","63","2018","Primary Election","4","DEM","1032","3697",0.28,"12","741","279",1032,0.31
"493","64","2018","Primary Election","4","DEM","631","2347",0.27,"9","507","115",631,0.19
"494","65","2018","Primary Election","4","DEM","650","2743",0.24,"4","527","119",650,0.19
"495","66","2018","Primary Election","5","DEM","1306","4510",0.29,"17","1059","230",1306,0.39
"496","67","2018","Primary Election","5","DEM","919","2866",0.32,"13","712","194",919,0.27
"497","68","2018","Primary Election","5","DEM","628","1922",0.33,"14","483","131",628,0.19
"498","69","2018","Primary Election","5","DEM","621","2094",0.3,"5","477","139",621,0.18
"499","70","2018","Primary Election","5","DEM","372","1451",0.26,"8","275","89",372,0.11
"500","71","2018","Primary Election","5","DEM","548","2418",0.23,"4","452","92",548,0.16
"501","72","2018","Primary Election","5","DEM","677","4337",0.16,"9","505","163",677,0.2
"502","73","2018","Primary Election","5","DEM","610","1956",0.31,"9","475","126",610,0.18
"503","74","2018","Primary Election","5","DEM","893","4729",0.19,"17","678","198",893,0.27
"504","75","2018","Primary Election","5","DEM","741","3930",0.19,"6","562","173",741,0.22
"505","76","2018","Primary Election","5","DEM","163","1650",0.1,"3","125","35",163,0.05
"506","77","2018","Primary Election","5","DEM","587","2928",0.2,"13","437","137",587,0.17
"507","78","2018","Primary Election","5","DEM","402","2951",0.14,"7","334","61",402,0.12
"508","79","2018","Primary Election","5","DEM","213","2062",0.1,"9","147","57",213,0.06
"509","80","2018","Primary Election","7","DEM","377","1472",0.26,"10","286","81",377,0.11
"510","81","2018","Primary Election","6","DEM","1067","4599",0.23,"20","770","277",1067,0.32
"511","82","2018","Primary Election","6","DEM","693","2537",0.27,"16","492","185",693,0.21
"512","83","2018","Primary Election","6","DEM","1397","5477",0.26,"41","1021","335",1397,0.42
"513","84","2018","Primary Election","6","DEM","669","1948",0.34,"17","478","174",669,0.2
"514","85","2018","Primary Election","6","DEM","930","2683",0.35,"19","675","236",930,0.28
"515","86","2018","Primary Election","6","DEM","654","2219",0.29,"14","458","182",654,0.19
"516","87","2018","Primary Election","6","DEM","777","2669",0.29,"21","543","213",777,0.23
"517","88","2018","Primary Election","6","DEM","781","2099",0.37,"17","575","189",781,0.23
"518","89","2018","Primary Election","6","DEM","953","2572",0.37,"20","668","265",953,0.28
"519","90","2018","Primary Election","6","DEM","538","1580",0.34,"12","360","166",538,0.16
"520","91","2018","Primary Election","6","DEM","1142","4065",0.28,"28","798","316",1142,0.34
"521","92","2018","Primary Election","7","DEM","215","1584",0.14,"1","191","23",215,0.06
"522","93","2018","Primary Election","7","DEM","201","1591",0.13,"3","176","22",201,0.06
"523","94","2018","Primary Election","7","DEM","200","1968",0.1,"1","179","20",200,0.06
"524","95","2018","Primary Election","7","DEM","193","1673",0.12,"1","166","26",193,0.06
"525","96","2018","Primary Election","7","DEM","267","2361",0.11,"4","222","41",267,0.08
"526","97","2018","Primary Election","7","DEM","181","1416",0.13,"2","149","30",181,0.05
"527","98","2018","Primary Election","7","DEM","235","1908",0.12,"4","199","32",235,0.07
"528","99","2018","Primary Election","7","DEM","162","1520",0.11,"3","133","26",162,0.05
"529","100","2018","Primary Election","7","DEM","194","2417",0.08,"1","160","33",194,0.06
"530","101","2018","Primary Election","7","DEM","327","1588",0.21,"1","275","51",327,0.1
"531","102","2018","Primary Election","7","DEM","292","2345",0.12,"8","237","47",292,0.09
"532","103","2018","Primary Election","7","DEM","416","3483",0.12,"3","345","68",416,0.12
"533","104","2018","Primary Election","7","DEM","325","3123",0.1,"7","267","51",325,0.1
"534","105","2018","Primary Election","7","DEM","299","2417",0.12,"4","224","71",299,0.09
"535","106","2018","Primary Election","7","DEM","402","2836",0.14,"4","322","76",402,0.12
"536","107","2018","Primary Election","7","DEM","121","1766",0.07,"2","107","12",121,0.04
"537","108","2018","Primary Election","7","DEM","327","1069",0.31,"1","270","56",327,0.1
"538","109","2018","Primary Election","7","DEM","294","963",0.31,"2","231","61",294,0.09
"539","110","2018","Primary Election","7","DEM","720","3729",0.19,"4","569","147",720,0.21
"540","111","2018","Primary Election","7","DEM","345","2450",0.14,"5","286","54",345,0.1
"541","112","2018","Primary Election","8","DEM","283","2228",0.13,"4","229","50",283,0.08
"542","113","2018","Primary Election","7","DEM","510","2205",0.23,"7","402","101",510,0.15
"543","114","2018","Primary Election","8","DEM","354","3602",0.1,"3","279","72",354,0.11
"544","115","2018","Primary Election","8","DEM","194","2821",0.07,"3","165","26",194,0.06
"545","116","2018","Primary Election","8","DEM","269","4134",0.07,"5","225","39",269,0.08
"546","117","2018","Primary Election","8","DEM","174","2103",0.08,"4","142","28",174,0.05
"547","118","2018","Primary Election","8","DEM","250","2765",0.09,"1","205","44",250,0.07
"548","119","2018","Primary Election","8","DEM","246","2759",0.09,"5","194","47",246,0.07
"549","120","2018","Primary Election","8","DEM","223","1954",0.11,"0","188","35",223,0.07
"550","121","2018","Primary Election","8","DEM","290","3428",0.08,"3","244","43",290,0.09
"551","122","2018","Primary Election","8","DEM","203","1814",0.11,"2","178","23",203,0.06
"552","123","2018","Primary Election","8","DEM","257","2364",0.11,"2","210","45",257,0.08
"553","124","2018","Primary Election","8","DEM","345","2630",0.13,"1","287","57",345,0.1
"554","125","2018","Primary Election","8","DEM","356","4524",0.08,"7","308","41",356,0.11
"555","126","2018","Primary Election","8","DEM","295","3896",0.08,"2","235","58",295,0.09
"556","127","2018","Primary Election","6","DEM","1136","4215",0.27,"32","829","275",1136,0.34
"557","128","2018","Primary Election","6","DEM","557","2439",0.23,"14","406","137",557,0.17
"558","129","2018","Primary Election","2","DEM","515","2331",0.22,"12","382","121",515,0.15
"559","130","2018","Primary Election","6","DEM","251","787",0.32,"5","190","56",251,0.07
"560","131","2018","Primary Election","6","DEM","800","3040",0.26,"13","563","224",800,0.24
"561","132","2018","Primary Election","7","DEM","201","2087",0.1,"2","181","18",201,0.06
"562","133","2018","Primary Election","8","DEM","235","1314",0.18,"4","197","34",235,0.07
"563","134","2018","Primary Election","8","DEM","233","2221",0.1,"5","197","31",233,0.07
"564","135","2018","Primary Election","5","DEM","773","3060",0.25,"21","570","182",773,0.23
"565","136","2018","Primary Election","3","DEM","272","836",0.33,"11","197","64",272,0.08
"566","137","2018","Primary Election","1","DEM","268","1129",0.24,"6","207","55",268,0.08
"567","138","2018","Primary Election","3","DEM","741","2161",0.34,"30","521","190",741,0.22
"568","139","2018","Primary Election","5","DEM","667","2438",0.27,"10","469","188",667,0.2
"569","140","2018","Primary Election","8","DEM","229","1854",0.12,"3","193","33",229,0.07
"570","141","2018","Primary Election","2","DEM","615","2427",0.25,"20","436","159",615,0.18
"571","142","2018","Primary Election","6","DEM","495","1665",0.3,"15","360","120",495,0.15
"572","143","2018","Primary Election","2","DEM","322","1535",0.21,"8","231","83",322,0.1
